"Date";"contador";"FromHour";"ToHour";"Sum"
2017-09-29;"1";4;6;79676.3458980044
2017-09-29;"1";6;8;76104.265104866
2017-09-29;"1";8;10;3473.49414324737
2017-09-29;"1";10;12;3473.49414324737
2017-09-29;"1";12;14;23421.8957050481
2017-09-29;"1";14;16;96214
2017-09-29;"1";16;18;78263.6737903599
2017-09-29;"1";18;20;16103.3333333333
2017-09-29;"1";20;22;16103.3333333333
2017-09-29;"1";22;24;13095.1891066658
2017-09-29;"1";0;2;4822.79248332997
2017-09-30;"1";2;4;4822.79248332997
2017-09-30;"1";4;6;4822.79248332997
2017-09-30;"1";6;8;4822.79248332997
2017-09-30;"1";8;10;4822.79248332997
2017-09-30;"1";10;12;78223.984912777
2017-09-30;"1";12;14;29852.5528455285
2017-09-30;"1";14;16;8284.19936373277
2017-09-30;"1";16;18;8284.19936373277
2017-09-30;"1";18;20;8284.19936373277
2017-09-30;"1";20;22;8284.19936373277
2017-09-30;"1";22;24;6635.07953340403
2017-09-30;"1";0;2;2100
2017-10-01;"1";2;4;2100
2017-10-01;"1";4;6;2100
2017-10-01;"1";6;8;2100
2017-10-01;"1";8;10;79302.509738453
2017-10-01;"1";10;12;29099.6567684968
2017-10-01;"1";12;14;6790.85665456099
2017-10-01;"1";14;16;6790.85665456099
2017-10-01;"1";16;18;6790.85665456099
2017-10-01;"1";18;20;6790.85665456099
2017-10-01;"1";20;22;6790.85665456099
2017-10-01;"1";22;24;6630.85750444997
2017-10-01;"1";0;2;6190.85984164467
2017-10-02;"1";2;4;6190.85984164467
2017-10-02;"1";4;6;32326.6305505394
2017-10-02;"1";6;8;78987.3333333333
2017-10-02;"1";8;10;11640
2017-10-02;"1";10;12;11640
2017-10-02;"1";12;14;11640
2017-10-02;"1";14;16;71181.3333333333
2017-10-02;"1";16;18;98266.2093862816
2017-10-02;"1";18;20;73973.7493692568
2017-10-02;"1";20;22;13534.0601347129
2017-10-02;"1";22;24;11041.9946299112
2017-10-02;"1";0;2;4188.81449170672
2017-10-03;"1";2;4;4188.81449170672
2017-10-03;"1";4;6;4188.81449170672
2017-10-03;"1";6;8;4188.81449170672
2017-10-03;"1";8;10;24831.7972939183
2017-10-03;"1";10;12;81822
2017-10-03;"1";12;14;81986.8641153633
2017-10-03;"1";14;16;85810
2017-10-03;"1";16;18;66875.9547392302
2017-10-03;"1";18;20;1420.13149365682
2017-10-03;"1";20;22;1420.13149365682
2017-10-03;"1";22;24;8993.86099291247
2017-10-03;"1";0;2;29821.6171158655
2017-10-04;"1";2;4;82857.043993702
2017-10-04;"1";4;6;32852.8262852117
2017-10-04;"1";6;8;12654.1212415804
2017-10-04;"1";8;10;12862.9938046449
2017-10-04;"1";10;12;12926.5637151428
2017-10-04;"1";12;14;36295.4800577714
2017-10-04;"1";14;16;101174
2017-10-04;"1";16;18;101643.234471906
2017-10-04;"1";18;20;33741.0456456123
2017-10-04;"1";20;22;13015.2769290595
2017-10-04;"1";22;24;10099.2691209182
2017-10-04;"1";0;2;2080.24764852959
2017-10-05;"1";2;4;2080.24764852959
2017-10-05;"1";4;6;2080.24764852959
2017-10-05;"1";6;8;80298.0577846569
2017-10-05;"1";8;10;78546.9357136999
2017-10-05;"1";10;12;9971.01449275362
2017-10-05;"1";12;14;9971.01449275362
2017-10-05;"1";14;16;32457.2367149758
2017-10-05;"1";16;18;103431.617883921
2017-10-05;"1";18;20;82638.6886156838
2017-10-05;"1";20;22;24395.0823088143
2017-10-05;"1";22;24;19781.5015374026
2017-10-05;"1";0;2;7094.15441602037
2017-10-06;"1";2;4;7094.15441602037
2017-10-06;"1";4;6;7094.15441602037
2017-10-06;"1";6;8;7094.15441602037
2017-10-06;"1";8;10;7094.15441602037
2017-10-06;"1";10;12;32695.7132384149
2017-10-06;"1";12;14;102986.016634322
2017-10-06;"1";14;16;29297.4683085913
2017-10-06;"1";16;18;6817.56735903213
2017-10-06;"1";18;20;6817.56735903213
2017-10-06;"1";20;22;6817.56735903213
2017-10-06;"1";22;24;10230.3836099287
2017-10-06;"1";0;2;19615.6282998944
2017-10-07;"1";2;4;19615.6282998944
2017-10-07;"1";4;6;59054.9521763954
2017-10-07;"1";6;8;8439.41392958822
2017-10-07;"1";8;10;8439.41392958822
2017-10-07;"1";10;12;8439.41392958822
2017-10-07;"1";12;14;8439.41392958822
2017-10-07;"1";14;16;8439.41392958822
2017-10-07;"1";16;18;12695.5702150314
2017-10-07;"1";18;20;84880
2017-10-07;"1";20;22;79796.7215119511
2017-10-07;"1";22;24;11707.9832719922
2017-10-07;"1";0;2;2709.9372699706
2017-10-08;"1";2;4;2709.9372699706
2017-10-08;"1";4;6;2709.9372699706
2017-10-08;"1";6;8;2709.9372699706
2017-10-08;"1";8;10;2709.9372699706
2017-10-08;"1";10;12;2709.9372699706
2017-10-08;"1";12;14;2709.9372699706
2017-10-08;"1";14;16;2709.9372699706
2017-10-08;"1";16;18;2709.9372699706
2017-10-08;"1";18;20;2709.9372699706
2017-10-08;"1";20;22;2709.9372699706
2017-10-08;"1";22;24;29704.6206646451
2017-10-08;"1";0;2;77570.1341676451
2017-10-09;"1";2;4;3604.2002333463
2017-10-09;"1";4;6;3604.2002333463
2017-10-09;"1";6;8;3604.2002333463
2017-10-09;"1";8;10;3604.2002333463
2017-10-09;"1";10;12;3891.08017112062
2017-10-09;"1";12;14;79872.8679593721
2017-10-09;"1";14;16;102897.333333333
2017-10-09;"1";16;18;77174.7706220967
2017-10-09;"1";18;20;8420.38983286263
2017-10-09;"1";20;22;8420.38983286263
2017-10-09;"1";22;24;13470.3477076312
2017-10-09;"1";0;2;27357.7318632447
2017-10-10;"1";2;4;86086.8041014238
2017-10-10;"1";4;6;32404.2468415938
2017-10-10;"1";6;8;10705.5393586006
2017-10-10;"1";8;10;17073.0161249545
2017-10-10;"1";10;12;19010.9438364535
2017-10-10;"1";12;14;41546.6921467326
2017-10-10;"1";14;16;103465.333333333
2017-10-10;"1";16;18;103929.551235768
2017-10-10;"1";18;20;31111.7333333333
2017-10-10;"1";20;22;8904
2017-10-10;"1";22;24;7476.20663665166
2017-10-10;"1";0;2;3549.77488744372
2017-10-11;"1";2;4;3549.77488744372
2017-10-11;"1";4;6;81150.0497181259
2017-10-11;"1";6;8;77363.5894471617
2017-10-11;"1";8;10;2160.96042685638
2017-10-11;"1";10;12;2160.96042685638
2017-10-11;"1";12;14;59253.1110175599
2017-10-11;"1";14;16;103588.666666667
2017-10-11;"1";16;18;78111.7006379315
2017-10-11;"1";18;20;7472.98736169622
2017-10-11;"1";20;22;7472.98736169622
2017-10-11;"1";22;24;33000.1907319106
2017-10-11;"1";0;2;104227.682362775
2017-10-12;"1";2;4;27411.817399153
2017-10-12;"1";4;6;3925.84878150385
2017-10-12;"1";6;8;3925.84878150385
2017-10-12;"1";8;10;3925.84878150385
2017-10-12;"1";10;12;3925.84878150385
2017-10-12;"1";12;14;3925.84878150385
2017-10-12;"1";14;16;48054.6980490176
2017-10-12;"1";16;18;103618.929001203
2017-10-12;"1";18;20;26263.4491916218
2017-10-12;"1";20;22;2720.15111950664
2017-10-12;"1";22;24;2630.15494440603
2017-10-12;"1";0;2;2382.66546287937
2017-10-13;"1";2;4;2382.66546287937
2017-10-13;"1";4;6;2382.66546287937
2017-10-13;"1";6;8;29320.6213394449
2017-10-13;"1";8;10;103152.587973274
2017-10-13;"1";10;12;34292.3243036
2017-10-13;"1";12;14;13387.3795264348
2017-10-13;"1";14;16;13387.3795264348
2017-10-13;"1";16;18;23812.0783193855
2017-10-13;"1";18;20;91420.6666666667
2017-10-13;"1";20;22;83286.285793717
2017-10-13;"1";22;24;26881.3380925941
2017-10-13;"1";0;2;21825.0178472277
2017-10-14;"1";2;4;21825.0178472277
2017-10-14;"1";4;6;21825.0178472277
2017-10-14;"1";6;8;21825.0178472277
2017-10-14;"1";8;10;21825.0178472277
2017-10-14;"1";10;12;21825.0178472277
2017-10-14;"1";12;14;17605.6462285769
2017-10-14;"1";14;16;5491.96642019236
2017-10-14;"1";16;18;5491.96642019236
2017-10-14;"1";18;20;5491.96642019236
2017-10-14;"1";20;22;5491.96642019236
2017-10-14;"1";22;24;11982.4907201948
2017-10-14;"1";0;2;49993.7171998146
2017-10-15;"1";2;4;78899.3474331859
2017-10-15;"1";4;6;5725.05287444722
2017-10-15;"1";6;8;5725.05287444722
2017-10-15;"1";8;10;5725.05287444722
2017-10-15;"1";10;12;5725.05287444722
2017-10-15;"1";12;14;5725.05287444722
2017-10-15;"1";14;16;5725.05287444722
2017-10-15;"1";16;18;77623.8456707044
2017-10-15;"1";18;20;80234.6666666667
2017-10-15;"1";20;22;16810
2017-10-15;"1";22;24;14854.304134
2017-10-15;"1";0;2;9476.14050250015
2017-10-16;"1";2;4;9476.14050250015
2017-10-16;"1";4;6;9476.14050250015
2017-10-16;"1";6;8;9476.14050250015
2017-10-16;"1";8;10;81346.382014971
2017-10-16;"1";10;12;103502.666666667
2017-10-16;"1";12;14;37471.5709101681
2017-10-16;"1";14;16;17388.1359697845
2017-10-16;"1";16;18;23951.2997111753
2017-10-16;"1";18;20;89121.3333333333
2017-10-16;"1";20;22;103041.034527446
2017-10-16;"1";22;24;45791.6451987675
2017-10-16;"1";0;2;3218.66949537809
2017-10-17;"1";2;4;3218.66949537809
2017-10-17;"1";4;6;3218.66949537809
2017-10-17;"1";6;8;3218.66949537809
2017-10-17;"1";8;10;3218.66949537809
2017-10-17;"1";10;12;78775.0228822549
2017-10-17;"1";12;14;101842.639852057
2017-10-17;"1";14;16;76254.5333333333
2017-10-17;"1";16;18;6532
2017-10-17;"1";18;20;6532
2017-10-17;"1";20;22;31538.7529760252
2017-10-17;"1";22;24;103419.333333333
2017-10-17;"1";0;2;27518.6838917597
2017-10-18;"1";2;4;4308.71811968661
